Order_ID,Product,Region,Units_Sold,Unit_Price,Revenue,Sales_Rep,Month,Order_Date
ORD001,Printer,Limpopo,45,2985,134325,Rep-2,March,3/28/2024
ORD002,Headphones,Western Cape,16,15076,241216,Rep-18,April,4/11/2024
ORD003,Laptop,Western Cape,45,14860,668700,Rep-16,May,5/18/2024
ORD004,External Hard Drive,KwaZulu-Natal,21,16237,340977,Rep-3,May,5/16/2024
ORD005,Smartphone,Western Cape,41,9420,386220,Rep-17,February,2/21/2024
ORD006,Smartwatch,North West,34,9745,331330,Rep-19,March,3/29/2024
ORD007,Tablet,Free State,5,17173,85865,Rep-1,March,3/27/2024
ORD008,Smartwatch,Gauteng,20,1392,27840,Rep-7,January,1/17/2024
ORD009,Headphones,Eastern Cape,30,10614,318420,Rep-15,May,5/5/2024
ORD010,Smartwatch,Limpopo,39,20114,784446,Rep-14,January,1/17/2024
ORD011,Printer,Gauteng,7,11665,81655,Rep-12,May,5/23/2024
ORD012,Smartwatch,KwaZulu-Natal,16,24838,397408,Rep-14,June,6/26/2024
ORD013,Printer,Western Cape,37,14447,534539,Rep-20,January,1/25/2024
ORD014,Smartphone,Western Cape,46,18624,856704,Rep-13,June,6/5/2024
ORD015,Smartwatch,Western Cape,3,14424,43272,Rep-11,May,5/29/2024
ORD016,Smartwatch,Gauteng,37,10416,385392,Rep-13,April,4/25/2024
ORD017,Printer,Eastern Cape,3,7002,21006,Rep-12,January,1/15/2024
ORD018,Printer,North West,20,16955,339100,Rep-14,May,5/30/2024
ORD019,Smartwatch,Western Cape,20,13113,262260,Rep-7,March,3/25/2024
ORD020,Smartwatch,Gauteng,39,5363,209157,Rep-8,March,3/8/2024
ORD021,Printer,Western Cape,35,10579,370265,Rep-1,March,3/14/2024
ORD022,Headphones,KwaZulu-Natal,43,7719,331917,Rep-15,May,5/21/2024
ORD023,Smartphone,Limpopo,25,927,23175,Rep-15,June,6/24/2024
ORD024,Tablet,Gauteng,18,11889,214002,Rep-19,January,1/30/2024
ORD025,Tablet,Eastern Cape,23,10409,239407,Rep-4,January,1/23/2024
ORD026,External Hard Drive,KwaZulu-Natal,13,11876,154388,Rep-20,January,1/9/2024
ORD027,Headphones,North West,42,20811,874062,Rep-2,March,3/28/2024
ORD028,Laptop,Limpopo,14,19935,279090,Rep-9,March,3/10/2024
ORD029,Headphones,Gauteng,37,21001,777037,Rep-1,May,4/29/2024
ORD030,Smartwatch,KwaZulu-Natal,20,10158,203160,Rep-1,June,6/12/2024
ORD031,Smartwatch,Western Cape,16,24995,399920,Rep-14,January,1/16/2024
ORD032,External Hard Drive,North West,36,20291,730476,Rep-19,April,4/2/2024
ORD033,Smartphone,Eastern Cape,19,5772,109668,Rep-4,February,2/12/2024
ORD034,External Hard Drive,Limpopo,28,5438,152264,Rep-16,April,4/1/2024
ORD035,Smartphone,Free State,46,14321,658766,Rep-12,January,1/20/2024
ORD036,Smartphone,Eastern Cape,35,15080,527800,Rep-11,February,2/26/2024
ORD037,Smartphone,North West,4,24308,97232,Rep-14,May,5/3/2024
ORD038,Smartwatch,Western Cape,2,16028,32056,Rep-7,February,2/7/2024
ORD039,Printer,Gauteng,44,7682,338008,Rep-20,June,6/14/2024
ORD040,External Hard Drive,Limpopo,40,2424,96960,Rep-6,January,1/1/2024
ORD041,Printer,North West,6,1319,7914,Rep-19,February,2/29/2024
ORD042,Tablet,Free State,33,12065,398145,Rep-19,April,4/6/2024
ORD043,Smartphone,Eastern Cape,16,9128,146048,Rep-7,January,1/21/2024
ORD044,Headphones,Western Cape,2,20962,41924,Rep-6,April,4/9/2024
ORD045,Laptop,North West,20,18902,378040,Rep-4,February,2/11/2024
ORD046,Tablet,Free State,5,2225,11125,Rep-8,January,1/17/2024
ORD047,Smartwatch,Western Cape,24,16010,384240,Rep-11,March,3/16/2024
ORD048,Smartwatch,Western Cape,47,16719,785793,Rep-13,January,1/26/2024
ORD049,Printer,Gauteng,44,15431,678964,Rep-3,January,1/2/2024
ORD050,Tablet,Gauteng,43,10101,434343,Rep-18,January,1/9/2024
ORD051,Printer,KwaZulu-Natal,27,8072,217944,Rep-14,January,1/10/2024
ORD052,Smartwatch,Eastern Cape,42,4758,199836,Rep-9,June,6/29/2024
ORD053,Printer,Western Cape,26,24073,625898,Rep-3,February,2/20/2024
ORD054,Tablet,Free State,25,21240,531000,Rep-4,January,1/16/2024
ORD055,Tablet,Limpopo,46,15607,717922,Rep-17,January,1/20/2024
ORD056,Tablet,North West,44,23250,1023000,Rep-5,April,4/29/2024
ORD057,Laptop,Western Cape,23,4808,110584,Rep-9,January,1/13/2024
ORD058,Smartwatch,Free State,5,7183,35915,Rep-6,February,2/16/2024
ORD059,Smartphone,Western Cape,34,15062,512108,Rep-11,May,5/31/2024
ORD060,Printer,Western Cape,28,23794,666232,Rep-7,April,4/26/2024
ORD061,Smartwatch,Gauteng,44,6455,284020,Rep-13,February,2/12/2024
ORD062,External Hard Drive,Gauteng,39,11109,433251,Rep-2,February,2/11/2024
ORD063,Smartphone,Gauteng,48,15425,740400,Rep-8,June,6/23/2024
ORD064,External Hard Drive,Gauteng,30,9479,284370,Rep-4,February,2/15/2024
ORD065,Laptop,North West,26,5734,149084,Rep-13,January,1/10/2024
ORD066,Smartphone,Free State,18,24495,440910,Rep-19,January,1/19/2024
ORD067,Tablet,KwaZulu-Natal,25,17989,449725,Rep-1,June,6/2/2024
ORD068,Laptop,North West,47,1862,87514,Rep-15,January,1/9/2024
ORD069,Smartwatch,Western Cape,21,20353,427413,Rep-6,March,3/5/2024
ORD070,External Hard Drive,North West,48,13228,634944,Rep-17,May,5/18/2024
ORD071,Tablet,KwaZulu-Natal,43,10407,447501,Rep-16,June,6/10/2024
ORD072,Headphones,Western Cape,14,4520,63280,Rep-18,April,4/23/2024
ORD073,External Hard Drive,Western Cape,3,3864,11592,Rep-12,April,4/21/2024
ORD074,Tablet,Western Cape,44,12696,558624,Rep-12,May,5/13/2024
ORD075,Headphones,Free State,25,3253,81325,Rep-19,April,4/1/2024
ORD076,Headphones,Eastern Cape,14,1687,23618,Rep-1,June,6/7/2024
ORD077,Tablet,Western Cape,40,5994,239760,Rep-8,February,2/16/2024
ORD078,Headphones,Limpopo,49,14831,726719,Rep-20,April,4/28/2024
ORD079,Smartwatch,Eastern Cape,11,8082,88902,Rep-17,March,3/24/2024
ORD080,Tablet,Western Cape,47,22132,1040204,Rep-3,June,6/14/2024
ORD081,Smartphone,Limpopo,47,6658,312926,Rep-11,May,5/22/2024
ORD082,Smartwatch,Eastern Cape,45,1238,55710,Rep-16,June,6/13/2024
ORD083,Tablet,Free State,47,14799,695553,Rep-1,February,2/9/2024
ORD084,Laptop,North West,22,22023,484506,Rep-5,January,1/27/2024
ORD085,Smartphone,North West,31,3210,99510,Rep-8,January,1/5/2024
ORD086,Printer,Limpopo,25,1580,39500,Rep-15,February,2/21/2024
ORD087,Printer,Gauteng,37,17564,649868,Rep-10,February,2/8/2024
ORD088,Headphones,Gauteng,44,14178,623832,Rep-14,April,4/8/2024
ORD089,Laptop,Eastern Cape,20,23664,473280,Rep-10,March,3/11/2024
ORD090,Tablet,Free State,23,7894,181562,Rep-16,April,4/1/2024
ORD091,Laptop,Eastern Cape,47,6357,298779,Rep-20,June,6/6/2024
ORD092,Smartwatch,Limpopo,16,21708,347328,Rep-6,May,5/5/2024
ORD093,Laptop,Eastern Cape,28,8137,227836,Rep-16,June,6/21/2024
ORD094,Laptop,Western Cape,9,9266,83394,Rep-7,June,6/8/2024
ORD095,Smartphone,Gauteng,16,4337,69392,Rep-6,April,4/16/2024
ORD096,Smartphone,Eastern Cape,11,22848,251328,Rep-1,May,5/6/2024
